market_key,commodity,market,district,state,variety,observed_date,minimum_price,maximum_price,modal_price,unit,source
groundnut-laxmeshwar-balli-habbu,Groundnut,Laxmeshwar,Gadag,Karnataka,Balli/Habbu,2021-01-15,2479.0,5069.0,4319.0,INR/quintal,AGMARKNET / Directorate of Marketing and Inspection
groundnut-laxmeshwar-balli-habbu,Groundnut,Laxmeshwar,Gadag,Karnataka,Balli/Habbu,2021-01-16,2719.0,5015.0,4192.0,INR/quintal,AGMARKNET / Directorate of Marketing and Inspection
groundnut-laxmeshwar-balli-habbu,Groundnut,Laxmeshwar,Gadag,Karnataka,Balli/Habbu,2021-01-19,2019.0,5009.0,4089.0,INR/quintal,AGMARKNET / Directorate of Marketing and Inspection
groundnut-laxmeshwar-balli-habbu,Groundnut,Laxmeshwar,Gadag,Karnataka,Balli/Habbu,2021-01-20,2115.0,5071.0,4068.0,INR/quintal,AGMARKNET / Directorate of Marketing and Inspection
groundnut-laxmeshwar-balli-habbu,Groundnut,Laxmeshwar,Gadag,Karnataka,Balli/Habbu,2021-01-21,2509.0,5225.0,4047.0,INR/quintal,AGMARKNET / Directorate of Marketing and Inspection
groundnut-laxmeshwar-balli-habbu,Groundnut,Laxmeshwar,Gadag,Karnataka,Balli/Habbu,2021-01-22,2111.0,5289.0,4856.0,INR/quintal,AGMARKNET / Directorate of Marketing and Inspection
groundnut-laxmeshwar-balli-habbu,Groundnut,Laxmeshwar,Gadag,Karnataka,Balli/Habbu,2021-01-23,2049.0,5219.0,4183.0,INR/quintal,AGMARKNET / Directorate of Marketing and Inspection
groundnut-laxmeshwar-balli-habbu,Groundnut,Laxmeshwar,Gadag,Karnataka,Balli/Habbu,2021-01-27,3016.0,5239.0,4996.0,INR/quintal,AGMARKNET / Directorate of Marketing and Inspection
groundnut-laxmeshwar-balli-habbu,Groundnut,Laxmeshwar,Gadag,Karnataka,Balli/Habbu,2021-01-28,2868.0,5289.0,4131.0,INR/quintal,AGMARKNET / Directorate of Marketing and Inspection
groundnut-laxmeshwar-balli-habbu,Groundnut,Laxmeshwar,Gadag,Karnataka,Balli/Habbu,2021-01-29,2609.0,5279.0,4369.0,INR/quintal,AGMARKNET / Directorate of Marketing and Inspection
